matrixB 1 2 4 8 16 40 80
input/rand_100_1 0.0002524 0.0008131 0.0008056 0.0009210 0.0011221 0.0115065 0.0230883
input/rand_100_10 0.0028179 0.0053082 0.0069726 0.0065411 0.0067305 0.0176689 0.0374967
input/rand_100_100 0.0236377 0.0281458 0.0333661 0.0316975 0.0325313 0.0591371 0.0821909
input/rand_100_1000 0.1519869 0.2170567 0.2505127 0.2169462 0.2134870 0.4531556 0.4558798
