matrixA matrixB 1 2 4 8 16 40 80
input/rand_1000_100 input/rand_100_1 0.0024843 0.0032521 0.0017252 0.0010728 0.0008717 0.0182305 0.0300868
input/rand_1000_100 input/rand_100_10 0.0248675 0.0204370 0.0155205 0.0080871 0.0045465 0.0051852 0.0280418
input/rand_1000_100 input/rand_100_100 0.2245399 0.1273973 0.0678335 0.0389052 0.0233774 0.0252399 0.0268961
